status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1021581417961885_1124440207676005,"咳咳 iPhone 7得獎名單公佈！
恭喜 q98741 得獎(請注意收信)
#人各有命上天注定 #今晚8點再拼一波 #狂阿編",[活動]爆料投稿搶i7(狂小編含淚釋出),link,https://www.facebook.com/1021581417961885/posts/1124440207676005,2016-12-05 18:25:10,704,31,2,654,2,15,31,0,2
1021581417961885_1124158024370890,"【慶祝本週狂新聞24小時破百萬】
　
提早發布新單元「狂抽猛送」
這集獎品有87個不能再高了
　
晚上八點準時上映！
　
想拿獎品的記得上來看呀！",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1124158024370890,2016-12-05 13:48:09,5821,165,56,5448,26,72,269,1,5
1021581417961885_1122879041165455,"【1204】卡提諾狂新聞 #042
※ 親民黨強勢參戰
※ 夭受讚！
※ 片尾沒老婆惹
※ 國際玻璃價格飆漲
※ 可不可以喝啊
卡提諾狂新聞小編溫哥華報導
※ 活動記得要參加啦
　
按讚加入卡提諾狂新聞粉絲團 ！搶先收到第一手狂訊
https://www.facebook.com/crazyck101/ 
　 
[活動] 爆料投稿搶iPhone 7 https://goo.gl/X7gLyu
卡提諾狂新聞網站 https://goo.gl/VXz5v2
卡提諾狂新聞1～42全集 https://goo.gl/2PEChU
卡提諾狂新聞Youtube https://goo.gl/2edkKf
#卡提諾狂新聞 #94狂",【1204】卡提諾狂新聞 #042,video,https://www.facebook.com/1021581417961885/posts/1122879041165455,2016-12-04 20:06:05,70310,6424,14052,58018,547,163,11535,21,26
1021581417961885_1122852947834731,不明原因影片被下架，重新上傳中.....,,status,https://www.facebook.com/1021581417961885/posts/1122852947834731,2016-12-04 19:47:06,11171,671,28,8756,10,713,371,201,1120
1021581417961885_1122786157841410,"再給我六首歌的時間
19:30，今天絕對不拖稿",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1122786157841410,2016-12-04 19:04:00,14522,862,26,11577,36,113,1542,55,1199
1021581417961885_1122479151205444,我正在忙搬家，預計七點出刊。,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1122479151205444,2016-12-04 14:16:13,15266,588,167,11741,48,174,2107,40,1156
1021581417961885_1120992724687420,老闆 來一份滿滿的大平台 #狂阿編,中國藝人王大陸在韓國MAMA的超狂發言｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1120992724687420,2016-12-03 13:59:58,0,0,0,0,0,0,0,0,0
1021581417961885_1120697644716928,"【找不到題材，本週狂新聞暫延至週日】

若持續低迷將視狀況休刊，歡迎提供新聞。",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1120697644716928,2016-12-03 09:17:27,11015,631,27,8348,11,248,371,885,1152
1021581417961885_1119826184804074,週末愉快,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1119826184804074,2016-12-02 20:44:26,13392,475,90,10971,23,69,1233,119,977
1021581417961885_1118185208301505,"哇～官耶！ #狂阿編
#樹大有枯枝",好大的官威！大警官試圖關說小員警｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1118185208301505,2016-12-01 17:42:57,0,0,0,0,0,0,0,0,0
1021581417961885_1117008728419153,"用生命作畫 #狂阿編
#一生懸命

[活動] 爆料投稿搶iPhone 7 http://goo.gl/Kr4VjS",車禍後多張臉？濃妝女撞前座椅背　痛苦表情完整「轉印」 | ETtoday 東森新聞雲｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1117008728419153,2016-11-30 18:32:21,0,0,0,0,0,0,0,0,0
1021581417961885_1116741118445914,"只要有心 人人都可以是...
#狂阿編 #剛吃飽別看 #別說我沒警告你

[活動] 爆料投稿搶iPhone 7 http://goo.gl/Kr4VjS",妖嬌姐出沒｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1116741118445914,2016-11-30 13:11:51,0,0,0,0,0,0,0,0,0
1021581417961885_1115694535217239,分享小編覺得很棒的演講,拖延大師的腦子在想什麼(Ted演講 中文字幕),video,https://www.facebook.com/1021581417961885/posts/1115694535217239,2016-11-29 17:57:54,2812,96,277,2546,32,12,212,1,9
1021581417961885_1114521728667853,"這肯定是我眼睛有問題 #狂阿編
#黨工表示薪水領一半正確率也剩一半啾咪",圓餅圖都不會畫讓我們怎麼教育下一代XD｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1114521728667853,2016-11-28 18:15:42,1,0,0,1,0,0,0,0,0
1021581417961885_1113337052119654,"【1127】卡提諾狂新聞 #041
※ 本週內容平平淡淡，請多包涵
※ 第一次拖稿到這麼久好特別
※ 片尾我老婆 成語蕎 Jenny Cheng，每集更換歡迎來信
※ 卡提諾狂新聞小編溫哥華報導
※ 活動記得要參加啦
　
按讚加入卡提諾狂新聞粉絲團 ！搶先收到第一手狂訊
https://www.facebook.com/crazyck101/ 
　 
[活動] 爆料投稿搶iPhone 7 https://goo.gl/X7gLyu
卡提諾狂新聞網站 https://goo.gl/VXz5v2
卡提諾狂新聞1～40全集 https://goo.gl/2PEChU
卡提諾狂新聞Youtube https://goo.gl/2edkKf
#卡提諾狂新聞 #94狂",【1127】卡提諾狂新聞 #041,video,https://www.facebook.com/1021581417961885/posts/1113337052119654,2016-11-27 19:51:22,41409,2161,6155,36419,460,105,4315,30,80
1021581417961885_1113291495457543,這禮拜有新的天鵝，你們再等一下吧...,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1113291495457543,2016-11-27 18:25:02,19787,879,109,15610,58,196,1852,91,1980
1021581417961885_1111560975630595,啊忘記公告啦，狂新聞週日下午見,,status,https://www.facebook.com/1021581417961885/posts/1111560975630595,2016-11-26 12:02:08,14314,1123,28,10774,39,136,1061,113,2191
1021581417961885_1110831242370235,"不讓你睡 #狂阿編
　
[活動] 爆料投稿搶i7 http://goo.gl/Kr4VjS
　
聖誕節想要眾人矚目 https://goo.gl/6MUp2H",長榮航空空姐大跳熱舞 史上最美舞團 ｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1110831242370235,2016-11-25 23:38:49,0,0,0,0,0,0,0,0,0
1021581417961885_1110602272393132,"【小編狂狂送禮時間】

我想你知道我知道獨眼龍也知道
明天又要拖稿了，所以來送禮吧
這可愛的面具我想最適合狂粉了
　
留言2個你覺得本週應該上榜的狂新聞

這頂面具就有可能是你的",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1110602272393132,2016-11-25 20:27:11,4615,705,30,3715,21,56,652,2,169
1021581417961885_1110510362402323,"換 iphone 七不用 money 只要 post 一個文 就有 opportunity
你還不 hurry
#狂阿編",[活動]爆料投稿搶i7(狂小編含淚釋出),link,https://www.facebook.com/1021581417961885/posts/1110510362402323,2016-11-25 18:22:31,1529,49,8,1427,8,2,88,1,3
