id,create_time,name,message,type,link,comments,reactions,shares
232633627068_10155620021267069,2017-02-21 09:26:11,一日遊最多不得開超過300公里　遊覽車公會反彈,"#最新
　
【#火線話題】賞櫻團翻車意外釀33死 
https://goo.gl/QzbajL
　
#國道 #遊覽車 #翻車 #過勞 #蝶戀花 #蝶戀花旅行社 #遊覽車公會",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1061112/,157,1272,56.0
232633627068_10155620019462069,2017-02-21 09:24:04,吳念真被中國封殺稱「假新聞」　嘆陳玉勳好悲哀,"拍個戲都要說自己不是台獨份子，好悲哀
　
#吳念真 #封殺 #假新聞 吳念真
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170221/1061008/,25,245,2.0
232633627068_10155619993497069,2017-02-21 09:09:28,【驚魂片】三井OUTLET電扶梯　吞3歲女童鞋險斷腳,"還好爸爸夠機警阿！
　
#三井OUTLET #電扶梯",link,http://www.appledaily.com.tw/realtimenews/article/local/20170221/1061012/,138,2650,272.0
232633627068_10155619987157069,2017-02-21 08:59:23,牽BeeTalk嫩妹小手　超商大夜挨揍,"莫名其妙就被打....
　
#超商 #大夜班 #挨揍 #牽手",link,http://www.appledaily.com.tw/realtimenews/article/local/20170221/1060638/,169,5633,232.0
232633627068_10155619828892069,2017-02-21 08:50:00,【蜜糖片】青春「泰妹」15天自由行　嫖客上網用LINE選妃,"誇張！墮落！..........請問LINE的群組連結在？ #宅編
　　
完整 #動新聞【蜜糖片】青春「泰妹」15天自由行　嫖客上網用LINE選妃
http://www.appledaily.com.tw/actionnews/appledaily/5/20170220/1060069/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170220/1060069/
　
#應召站 #自由行 #LINE群組",video,https://www.facebook.com/appledaily.tw/videos/10155619828892069/,54,1101,24.0
232633627068_10155619962602069,2017-02-21 08:41:52,【起底】逼賠59萬名店吞一星負評　剛開幕就被投訴,"該說業者一路走來，始終如一嗎？
　
【2女大生工時太長離職　竟遭名店求償59萬】
http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060795/
　
【學生實習被當血汗勞工　高餐大說話了】
http://www.appledaily.com.tw/realtimenews/article/local/20170221/1061082/

　
#打工 #工時 #求償 #永采烘焙坊 #台中",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1061057/,500,6433,524.0
232633627068_10155619779977069,2017-02-21 08:30:00,【健康問蘋果】粉瘤怎麼治　醫師這樣說,"皮膚要好千萬不能手賤 #鄉編
　　
完整 #動新聞【健康問蘋果】粉瘤怎麼治　醫師這樣說
http://www.appledaily.com.tw/actionnews/appledaily/5/20170220/1057640/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/life/20170220/1057640/
　
#健康問蘋果 #粉瘤 #皮膚 #皮膚科",video,https://www.facebook.com/appledaily.tw/videos/10155619779977069/,112,1150,137.0
232633627068_10155619897547069,2017-02-21 08:20:19,人妻急缺救命錢　富商假好心借錢要嘿咻,"總覺得是跳了
　
#富商 #好心 #救命錢 #越女 #人妻",link,http://www.appledaily.com.tw/realtimenews/article/local/20170221/1060961/,100,6665,94.0
232633627068_10155619889902069,2017-02-21 08:10:00,金正男之死　馬國衛生部：確定非死於心臟病,"馬來西亞衛生局局長諾希山：死者是否就是金正男，則需要進一步確認...
　
【殺不完片】毒殺金正男後　下一個目標就是他
http://www.appledaily.com.tw/realtimenews/article/international/20170221/1060658/
　
馬國官員：金正男之子金韓松未出現醫院認屍
http://www.appledaily.com.tw/realtimenews/article/international/20170221/1060879/
　
#金正恩 #金正男 #北韓 #暗殺 #northkorea #김정남 #김정은 #KimJongNam #馬來西亞 #Malaysia",link,http://www.appledaily.com.tw/realtimenews/article/international/20170221/1061009/,10,611,6.0
232633627068_10155619888872069,2017-02-21 08:00:18,【33死】蝶戀花司機爆　連上1個月班且天天超時,"連上一整個月...#最新
　
【#火線話題】賞櫻團翻車意外釀33死 
https://goo.gl/QzbajL
　
#國道 #遊覽車 #翻車 #蝶戀花 #蝶戀花旅行社 #司機 #過勞",link,http://www.appledaily.com.tw/realtimenews/article/local/20170221/1061017,37,1956,44.0
